task,model,MAE,MAPE,RMSE,NSE
24h,MSCMNet_WM (reported),14.79,2.7,7.924,0.957
24h,MSCMNet_W (reported),14.471,2.6,7.586,0.959
24h,DCRNN,11.9173036861,2.21292761,6.848257339,0.9704192118
24h,STGCN,12.3576910431,2.42452648,7.9045915979,0.9605898151
24h,STaR-GNN,9.4241992052,1.8045739200000002,5.5346555758,0.9806789467
168h,MSCMNet_WM (reported),15.29,2.7,8.097,0.957
168h,MSCMNet_W (reported),14.95,2.6,7.756,0.96
168h,DCRNN,16.8007438653,3.2484126100000004,9.8174281057,0.9395043653
168h,STGCN,14.5691800061,3.57584815,10.305691378,0.9333373086
168h,STaR-GNN,12.2335903994,2.0137742899999997,6.1608814144,0.9761760221
